あいさつ,aisatu
ボーナス,bo-nasu
ボクシング,bokusingu
ポケット,poketto
ぼける,bokeru
ホテル,hoteru
ぼや,boya
まごまご,magomago
まして,masite
まちまち,matimati
まとめ,matome
マフラー,mafura-
みかん,mican
みだりに,midarini
めいる,meiru
めそめそ,mesomeso
メディア,medhia
メロメロ,meromero
もうろく,mouroku
モーター,mo-ta-
もがく,mogaku
もし,mosi
もだえる,modaeru
もたもた,motamota
もてなす,motenasu
もらう,morau
やせる,yaseru
よれよれ,yoreyore
ラジオ,rajio
リーダー,ri-da-
ルール,ru-ru
レイアウト,reiauto
レシート,resi-to
レジャー,reja-
れんこん,renkon
レンジ,renzi
レンズ,renzu
ろうそく,rousoku
ワイン,wain
悪い,warui
安い,yasui
暗い,kurai
胃腸,ityou
衣装,isyou
遺産,isan
一日,tuitati
印刷,insatu
栄える,sakaeru
永遠,eien
英語,eigo
衛生,eisei
円,en
沿う,sou
音楽,ongaku
価値,kati
加える,kuwaeru
夏至,gesi
家,ie
科学,kagaku
歌,uta
河川,kasen
会う,au
解く,toku
改革,kaicaku
開く,hiraku
階段,kaidan
拡大,cakudai
覚える,oboeru
完成,kansei
感覚,kancaku
管理,kanri
簡単,kantan
観察,kansatu
丸い,marui
岩,iwa
顔,kao
願う,negau
帰る,kaeru
貴重,kityou
求める,motomeru
許可,kyoca
漁師,ryousi
競争,kyousou
共同,kyoudou
協力,kyouryoku
境界,kyoucai
教える,osieru
教官,kyoucan
教師,kyousi
橋,hasi
郷里,kyouri
金額,kingaku
金属,kinzoku
銀行,gincou
兄弟,kyoudai
計画,keicaku
計算,keisan
軽い,karui
欠ける,cakeru
検査,kensa
権利,kenri
県立,kenritu
減る,heru
現象,gensyou
言う,iu
限度,gendo
古典,koten
固い,katai
故障,kosyou
五日,ituka
語句,goku
光る,hikaru
公私,cousi
厚い,atui
孝行,coucou
広い,hiroi
構造,couzou
皇后,cougou
紅茶,coutya
考える,kangaeru
行く,icu
鋼鉄,coutetu
合う,au
合唱,gassyou
国語,cokugo
今,ima
左,hidari
砂糖,satou
裁判,saiban
作詞,sakusi
桜,sakura
三角,sancaku
参加,sanka
賛成,sansei
酸素,sanso
氏名,simei
視覚,sicaku
試す,tamesu
資格,sicaku
資源,sigen
飼う,kau
時刻,jicoku
示す,simesu
自宅,jitaku
辞書,jisyo
弱い,yowai
主張,syutyou
手帳,tetyou
受ける,ukeru
収める,osameru
修める,osameru
拾う,hirou
終わり,owari
祝う,iwau
春,haru
暑い,atui
助ける,tasukeru
勝つ,katu
商店街,syoutengai
将来,syourai
承知,syouti
昭和,syouwa
照らす,terasu
省略,syouryaku
植える,ueru
神聖,sinsei
推進,suisin
制限,seigen
性格,seicaku
政党,seitou
晴れ,hare
正月,syougatu
清潔,seiketu
生活,seikatu
盛大,seidai
声,koe
製造,seizou
青い,aoi
絶える,taeru
先生,sensei
染める,someru
創造,souzou
操作,sousa
巣立つ,sudatu
相談,soudan
窓,mado
総合,sougou
草,kusa
送る,okuru
卒業,sotugyou
孫,mago
損害,songai
体系,taikei
対策,taisaku
態勢,taisei
貸す,kasu
大統領,daitouryou
谷,tani
断層,dansou
置く,oku
長い,nagai
頂点,tyouten
直接,tyokusetu
定める,sadameru
庭,niwa
程度,teido
点線,tensen
点灯,tentou
東,higasi
答え,kotae
動く,ugoku
堂々と,doudouto
道徳,doutoku
得る,eru
独特,dokutoku
届ける,todokeru
内閣,naicaku
燃える,moeru
納める,osameru
派生,hasei
箱,hako
八日,youca
反省,hansei
犯す,okasu
晩,ban
否定,hitei
悲しい,kanasii
肥料,hiryou
備える,sonaeru
秒速,byousoku
付ける,tukeru
分ける,wakeru
保つ,tamotu
暮らす,kurasu
防ぐ,fusegu
牧師,bokusi
民族,minzoku
命令,meirei
明るい,akarui
面影,omokage
夜,yoru
友達,tomodati
遊ぶ,asobu
予定,yotei
預ける,azukeru
容易,youi
養蚕,yousan
乱れる,midareru
両親,ryousin
良心,ryousin
例外,reigai
連続,renzoku
労働,roudou
